product_name,brand,price,sku,product_id,description,reviews,colour,sizes,breadcrumbs,primary_image_url,image_urls,product_url
,,,"Cream / XS - Rs. 20,700.00",diane-ski-pully-cream,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/diane-ski-pully-cream
,,,"Multi / XS - Rs. 15,400.00",woodstock-viva-crochet-top-multi,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/woodstock-viva-crochet-top-multi
,,,"White / XS - Rs. 8,700.00",wrap-neck-tank-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/wrap-neck-tank-white
,,,"Multi / XS - Rs. 15,900.00",sweater-cardigan-multi-color,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/sweater-cardigan-multi-color
,,,"HIBISCUS / XS - Rs. 15,400.00",sporty-logo-net-long-sleeve-top-1-hibiscus,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/sporty-logo-net-long-sleeve-top-1-hibiscus
,,,"Black Ombre / XS - Rs. 10,300.00",ombre-cap-sleeve-wrap-tee-black-ombre,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/ombre-cap-sleeve-wrap-tee-black-ombre
,,,"FUCHSIA / S - Rs. 31,800.00",raines-silk-shirt-fuchsia,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/raines-silk-shirt-fuchsia
,,,"Pickled Beet / XS - Rs. 8,700.00",crochet-tank-pickled-beet,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/crochet-tank-pickled-beet
,,,"DARK TEAL / XXS - Rs. 5,600.00",cut-out-halterneck-cami-dark-teal,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/cut-out-halterneck-cami-dark-teal
,,,"BLUE/MULTI / XS - Rs. 6,000.00",terrazzo-tlc-crop-top-blue-multi,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/terrazzo-tlc-crop-top-blue-multi
,,,"CLEARLY AQUA / XS - Rs. 8,800.00",french-terry-half-zip-clearly-aqua,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/french-terry-half-zip-clearly-aqua
,,,"White / XS - Rs. 10,300.00",l-s-wrap-neck-shirt-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/l-s-wrap-neck-shirt-white
,,,"Ivory / XS - Rs. 10,300.00",tennis-tank-ivory,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/tennis-tank-ivory
,,,"White/Tan Stripe / XS - Rs. 12,000.00",twisted-tunic-shirt-white-tan-stripe,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/twisted-tunic-shirt-white-tan-stripe
,,,"Blue with Silver Rhinestones / XS - Rs. 8,400.00",rhinestone-oversized-button-up-shirt-blue-with-silver-rhinestones,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/rhinestone-oversized-button-up-shirt-blue-with-silver-rhinestones
,,,"M414 / XS - Rs. 23,400.00",414,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/tee-shirt-m414
,,,"ACID LIME / XS - Rs. 8,700.00",rash-guard-run-top-acid-lime,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/rash-guard-run-top-acid-lime
,,,"Dark Olive/ Acid Lime / XS - Rs. 12,000.00",fleece-back-half-zip-top-dark-olive-acid-lime,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/fleece-back-half-zip-top-dark-olive-acid-lime
,,,"BLACK / XS - Rs. 22,500.00",tee-shirt-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/tee-shirt-black
,,,"Buffalo Plaid / XS - Rs. 12,000.00",mock-neck-s-top-black-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/mock-neck-s-top-black-white
,,,"BLACK / XS - Rs. 28,200.00",cabane-026-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/cabane-026-black
,,,"Black / XS - Rs. 28,600.00",thermal-top-long-sleeves-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/thermal-top-long-sleeves-black
,,,"Black / XS - Rs. 11,100.00",mesh-off-shoulder-top-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/mesh-off-shoulder-top-black
,,,"BLACK / XS - Rs. 9,500.00",sleeveless-mock-neck-top-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/sleeveless-mock-neck-top-black
,,,"Navy Toile / XS - Rs. 15,900.00",toile-track-pant-toile-print,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/toile-track-pant-toile-print
,,,"Black / XS - Rs. 10,300.00",capri-legging-w-o-waistband-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/capri-legging-w-o-waistband-black
,,,"Black / XS - Rs. 10,300.00",high-rise-melt-capri-legging-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-melt-capri-legging-black
,,,"Dot Black / 34 - Rs. 52,200.00",ballon-ski-pants-dot-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/ballon-ski-pants-dot-black
,,,"Heather Oatmeal / XS - Rs. 6,300.00",bike-short-6-inseam-heather-oat,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/bike-short-6-inseam-heather-oat
,,,"CHAI / XS - Rs. 5,700.00",spacedye-high-waisted-biker-short-chai,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/spacedye-high-waisted-biker-short-chai
,,,"ARMY/BLACK LINEN / 1 - Rs. 15,700.00",colorblock-shorts-army-black-linen,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/colorblock-shorts-army-black-linen
,,,"WHITE / XS - Rs. 23,800.00",ember-utility-pant-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/ember-utility-pant-white
,,,"White / XS - Rs. 14,500.00",lilo4-102-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/lilo4-102-white
,,,"Tomato / XS - Rs. 6,300.00",pleated-tennis-ball-short-tomato-puree,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/pleated-tennis-ball-short-tomato-puree
,,,"Haute Red / XS - Rs. 12,000.00",slim-leg-sweatpant-haute-red,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/slim-leg-sweatpant-haute-red
,,,"Leopard / XS - Rs. 11,700.00",belle-bikini-leopard,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/belle-bikini-leopard
,,,"Gold / XS - Rs. 11,100.00",metallic-pleated-skirt-gold,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/metallic-pleated-skirt-gold
,,,"ALMOND / XS - Rs. 32,600.00",warm-up-trousers-almond,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/warm-up-trousers-almond
,,,"Khaki / XS - Rs. 12,000.00",stretch-twill-stirrup-legging-khaki,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/stretch-twill-stirrup-legging-khaki
,,,"Island Fossil / XS - Rs. 5,600.00",golf-short-island-fossel,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/golf-short-island-fossel
,,,"Dark Oak / XS - Rs. 6,100.00",basic-legging-with-branded-taping-5-dark-oak,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/basic-legging-with-branded-taping-5-dark-oak
,,,"Sweet Lavender / XS - Rs. 10,300.00",high-rise-7-8-legging-in-takara-shine-sweet-lavendar,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-7-8-legging-in-takara-shine-sweet-lavendar
,,,"Seafog / XS - Rs. 10,300.00",high-rise-7-8-legging-in-takara-shine-seafog,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-7-8-legging-in-takara-shine-seafog
,,,"Medium Wash / XS - Rs. 9,500.00",chambray-short-chambray,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/chambray-short-chambray
,,,"Quiet Harbor / XS - Rs. 8,700.00",wrap-legging-quiet-harbor,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/wrap-legging-quiet-harbor
,,,"Old Gold / XS - Rs. 8,700.00",ribbed-7-8-legging-old-gold,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/ribbed-7-8-legging-old-gold
,,,"Antique Bronze / XS - Rs. 10,300.00",high-rise-full-length-legging-in-takara-shine-antique-bronze,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-full-length-legging-in-takara-shine-antique-bronze
,,,"Green / XS - Rs. 12,900.00",oxford-sloan-skirt-green,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/oxford-sloan-skirt-green
,,,"Ponderosa Pine / XS - Rs. 5,600.00",golf-short-ponderosa-pine,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/golf-short-ponderosa-pine
,,,"Olive / XS - Rs. 13,600.00",crochet-legging-in-melt-olive,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/crochet-legging-in-melt-olive
,,,"Wasabi / XS - Rs. 10,300.00",high-rise-7-8-legging-in-takara-shine-wasabi,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-7-8-legging-in-takara-shine-wasabi
,,,"Black / XS - Rs. 7,900.00",lounge-short-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/lounge-short-black
,,,"Moonbeam Heather / XS - Rs. 9,500.00",high-rise-knit-short-in-interlock-moonbeam-heather,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-knit-short-in-interlock-moonbeam-heather
,,,"White / XS - Rs. 11,100.00",fleece-back-seam-legging-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/fleece-back-seam-legging-white
,,,"White / XS - Rs. 6,300.00",pleated-tennis-ball-short-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/pleated-tennis-ball-short-white
,,,"WHITE / XXS - Rs. 5,200.00",ribbed-legging-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/ribbed-legging-white
,,,"Black / XS - Rs. 15,900.00",odyssey-pocket-legging-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/odyssey-pocket-legging-black
,,,"Black / XS - Rs. 13,600.00",lightweight-lasercut-travel-pant-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/lightweight-lasercut-travel-pant-black
,,,"Black / XS - Rs. 7,900.00",1,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/running-short-black-1
,,,"Charcoal Heather / XS - Rs. 9,500.00",jogger-in-heather-melt-charcoal-heather,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/jogger-in-heather-melt-charcoal-heather
,,,"Charcoal Heather / XS - Rs. 8,700.00",wrap-legging-ultimate-dark-heather-grey,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/wrap-legging-ultimate-dark-heather-grey
,,,"Silver / XS - Rs. 11,100.00",metallic-pleated-skirt-silver,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/metallic-pleated-skirt-silver
,,,"Silver Heather / XS - Rs. 8,700.00",wrap-legging-ultimate-light-heather-grey,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/wrap-legging-ultimate-light-heather-grey
,,,"Heather Grey / XS - Rs. 10,300.00",slim-jogger-heather-grey,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/slim-jogger-heather-grey
,,,"Deep Lagoon / XS - Rs. 11,100.00",scuba-golf-short-body-tbd-deep-lagoon,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/scuba-golf-short-body-tbd-deep-lagoon
,,,"Deep Lagoon / XS - Rs. 12,700.00",mod-tennis-skirt-deep-lagoon,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/mod-tennis-skirt-deep-lagoon
,,,"Malachite / XS - Rs. 6,300.00",bike-short-in-melt-malachite,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/bike-short-in-melt-malachite
,,,"Granite Green / XS - Rs. 8,700.00",high-rise-legging-in-melt-granite-green,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-legging-in-melt-granite-green
,,,"Blush / XS - Rs. 12,000.00",wide-leg-pant-in-velour-blush,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/wide-leg-pant-in-velour-blush
,,,"Hawthorn Rose Heather / XS - Rs. 9,500.00",jogger-in-heather-melt-hawthorn-rose-heather,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/jogger-in-heather-melt-hawthorn-rose-heather
,,,"Hawthorn Rose Heather / XS - Rs. 8,700.00",wrap-legging-hawthorn-rose-heather,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/wrap-legging-hawthorn-rose-heather
,,,"Tomato / XS - Rs. 13,600.00",split-leg-pant-tomato-puree,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/split-leg-pant-tomato-puree
,,,"Tomato / XS - Rs. 8,700.00",high-rise-legging-in-melt-tomato-puree,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-legging-in-melt-tomato-puree
,,,"CARAMEL CAFE / XS - Rs. 6,300.00",biker-short-caramel-cafe,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/biker-short-caramel-cafe
,,,"Spice Route / XS - Rs. 10,300.00",high-rise-7-8-legging-in-takara-shine-spice-route,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-7-8-legging-in-takara-shine-spice-route
,,,"Burnt Sienna / XS - Rs. 9,500.00",jogger-in-melt-burnt-sienna,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/jogger-in-melt-burnt-sienna
,,,"Burnt Sienna / XS - Rs. 8,700.00",high-rise-legging-in-melt-burnt-sienna,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-legging-in-melt-burnt-sienna
,,,"Dark Oak / XS - Rs. 6,700.00",split-bootcut-legging-4-dark-oak,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/split-bootcut-legging-4-dark-oak
,,,"Caribou / XS - Rs. 9,500.00",jogger-in-melt-caribou,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/jogger-in-melt-caribou
,,,"White / XS - Rs. 8,700.00",cross-court-pickleball-skirt-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/cross-court-pickleball-skirt-white
,,,"White / XS - Rs. 18,900.00",kick-flare-pant-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/kick-flare-pant-white
,,,"White / XS - Rs. 7,900.00",lounge-short-white,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/lounge-short-white
,,,"Caribou / XS - Rs. 8,700.00",ribbed-7-8-legging-caribou,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/ribbed-7-8-legging-caribou
,,,"Silver Heather / XS - Rs. 9,500.00",jogger-in-heather-melt-silver-heather,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/jogger-in-heather-melt-silver-heather
,,,"Oatmeal Heather / XS - Rs. 9,500.00",jogger-in-heather-melt-oatmeal-heather,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/jogger-in-heather-melt-oatmeal-heather
,,,"Oatmeal Heather with Rose Gold Foil / XS - Rs. 12,700.00",foil-legging-in-melt-oatmeal-heather-with-rose-gold-foil,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/foil-legging-in-melt-oatmeal-heather-with-rose-gold-foil
,,,"HEATHER OATMEAL / XS - Rs. 8,700.00",1,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/wrap-legging-heather-oat-1
,,,"Taupe Heather / XS - Rs. 12,700.00",tapered-leg-jogger-taupe-heather,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/tapered-leg-jogger-taupe-heather
,,,"Black / XS - Rs. 10,300.00",pleated-tennis-skirt-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/pleated-tennis-skirt-black
,,,"Black / XS - Rs. 9,500.00",high-rise-knit-short-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-knit-short-black
,,,"BLACK / XXS - Rs. 5,200.00",ribbed-regular-rise-7-8-legging-1-black,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/ribbed-regular-rise-7-8-legging-1-black
,,,"Black w/ White Rosette / XS - Rs. 12,000.00",rosette-legging-in-melt-black-w-white-rosette,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/rosette-legging-in-melt-black-w-white-rosette
,,,"Olive / XS - Rs. 10,300.00",tuxedo-legging-olive,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/tuxedo-legging-olive
,,,"Olive / XS - Rs. 8,700.00",basic-legging-in-melt-core-olive,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/basic-legging-in-melt-core-olive
,,,"Olive / XS - Rs. 6,500.00",jogger-in-melt-core-olive,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/jogger-in-melt-core-olive
,,,"Olive / XS - Rs. 8,700.00",high-rise-full-length-legging-in-diamond-compression-2-core-olive,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/high-rise-full-length-legging-in-diamond-compression-2-core-olive
,,,"Burgundy / XS - Rs. 36,200.00",sterling-pant-burgundy,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/sterling-pant-burgundy
,,,"Crimson Red / XS - Rs. 9,500.00",contrast-legging-in-melt-takara-crimson-red,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/contrast-legging-in-melt-takara-crimson-red
,,,"Granite Green / XS - Rs. 9,500.00",jogger-in-melt-granite-green,Sign up to receive 15% off your first order + stay in the know for new arrivals & exclusive promotions.,0,,[],[],#,[],https://carbon38.com/en-in/products/jogger-in-melt-granite-green
